Model,Features,Accuracy,Macro-F1,MCC
Naive Bayes,AAC+DPC+CT (763D),0.2797121634168988,0.24750528677125438,0.22944328087253754
Naive Bayes,ESM-2 (1280D),0.5359795728876509,0.46282260399921504,0.4644954268533721
KNN,AAC+DPC+CT (763D),0.4319870009285051,0.3115436778541877,0.3137191021768695
KNN,ESM-2 (1280D),0.755803156917363,0.702177950655105,0.7070365511312241
Logistic Regression,AAC+DPC+CT (763D),0.4586815227483751,0.38336623571964973,0.37903398483864664
Logistic Regression,ESM-2 (1280D),0.7739090064995358,0.7243906300216268,0.732734080985968
SVM (RBF),AAC+DPC+CT (763D),0.6072423398328691,0.5128018408628393,0.5276335400117386
SVM (RBF),ESM-2 (1280D),0.83008356545961,0.7890355097558776,0.7968768538063878
Random Forest,AAC+DPC+CT (763D),0.515552460538533,0.3494907669301797,0.4065539858536275
Random Forest,ESM-2 (1280D),0.760213556174559,0.6936674403792206,0.7112057668197139
XGBoost,AAC+DPC+CT (763D),0.6005106778087279,0.45720791216281886,0.5138760641816027
XGBoost,ESM-2 (1280D),0.808263695450325,0.7572825877705684,0.7700519313221943
